id;Variable;Medida
1;t-ph;min
2;Time;min
3;RPM;1/min
4;Load;W
5;HR;1/min
6;VTex;L
7;BF;1/min
8;V'E;L/min
9;PETO2;mmHg
10;PETCO2;mmHg
11;V'O2;mL/min
12;V'O2/kg;(mL/min)/kg
13;V'CO2;mL/min
14;RER;
15;EqO2;
16;EqCO2;
17;O2pulse;mL
18;SpO2;%
19;Lac;mmol/L
20;Glu;mmol(Glu)/L
21;Psys;mmHg
22;Pdia;mmHg
23;PaO2;mmHg
24;PaCO2;mmHg
25;CircPow;mmHg*L/(kg*min)
26;V'A;L/min
27;DProd;mmHg/min
28;RPE_Fat;
29;RPE_Dys;
30;V'O2/LW;(mL/min)/kg
31;V'CO2/kg;(mL/min)/kg
32;V'O2c;mL/min
33;Wtot;Watt*min
34;SUM_V'O2;L
35;npRER;num
36;CHO_E/d;kcal/day
37;FAT_E/d;kcal/day
38;PRO_E/d;kcal/day
39;EE/d;kcal/day
40;SUM_EE;kcal
41;PBar;mmHg
42;Tamb;?C
43;Texp;?C
44;RHex;%
45;t_in;sec
46;t_ex;sec
47;FIO2;%
48;FICO2;%
49;FETO2;%
50;FETCO2;%
51;FEO2;%
52;FECO2;%
53;PEO2;mmHg
54;PECO2;mmHg
55;VDc;mL
56;VDe;mL
57;VolO2;mL
58;VolCO2;mL
59;VTin;L
60;VTin_[ST];L
61;VTex_[ST];L
62;VDc/VT;%
63;VDe/VT;%
64;V'E_[AT];L/min
65;V'E_[ST];L/min
66;Vslope;
